iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[256][MAX]
96	2400	0.456	13
97	2425	0.458	13
98	2450	0.46	13
99	2475	0.462	13
100	2500	0.464	13
101	2525	0.466	13
102	2550	0.468	13
103	2575	0.47	13
104	2600	0.472	13
105	2625	0.475	13
106	2650	0.477	13
107	2675	0.478	13
108	2700	0.48	13
109	2725	0.482	13
110	2750	0.484	13
111	2775	0.486	13
112	2800	0.488	13
113	2825	0.491	13
114	2850	0.493	13
115	2875	0.494	13
116	2900	0.496	13
117	2925	0.498	13
118	2950	0.5	13
119	2975	0.504	13
120	3000	0.509	13
121	3025	0.511	13
122	3050	0.513	13
123	3075	0.514	13
124	3100	0.516	13
125	3125	0.519	13
126	3150	0.52	13
127	3175	0.522	13
128	3200	0.528	13
129	3225	0.53	13
130	3250	0.531	13
131	3275	0.533	13
132	3300	0.535	13
133	3325	0.537	13
134	3350	0.541	13
135	3375	0.544	13
136	3400	0.546	13
137	3425	0.548	13
138	3450	0.549	13
139	3475	0.551	13
140	3500	0.553	13
141	3525	0.555	13
142	3550	0.559	13
143	3575	0.56	13
144	3600	0.562	13
145	3625	0.566	13
146	3650	0.569	13
147	3675	0.571	13
148	3700	0.575	13
149	3725	0.576	13
150	3750	0.578	13
151	3775	0.58	13
152	3800	0.581	13
153	3825	0.583	13
154	3850	0.585	13
155	3875	0.586	13
156	3900	0.588	13
157	3925	0.592	13
158	3950	0.593	13
159	3975	0.595	13
160	4000	0.597	13
161	4025	0.598	13
162	4050	0.6	13
163	4075	0.602	13
164	4100	0.603	13
165	4125	0.605	13
166	4150	0.609	13
167	4175	0.611	13
168	4200	0.612	13
169	4225	0.614	13
170	4250	0.615	13
171	4275	0.617	13
172	4300	0.618	13
173	4325	0.623	13
174	4350	0.626	13
175	4375	0.629	13
176	4400	0.631	13
177	4425	0.633	13
178	4450	0.636	13
179	4475	0.638	13
180	4500	0.64	13
181	4525	0.643	13
182	4550	0.645	13
183	4575	0.647	13
184	4600	0.65	13
185	4625	0.652	13
186	4650	0.654	13
187	4675	0.656	13
188	4700	0.658	13
189	4725	0.659	13
190	4750	0.661	13
191	4775	0.662	13
192	4800	0.663	13
193	4825	0.665	13
194	4850	0.666	13
195	4875	0.667	13
196	4900	0.669	13
197	4925	0.67	13
198	4950	0.672	13
199	4975	0.674	13
200	5000	0.675	13
201	5025	0.677	13
202	5050	0.678	13
203	5075	0.682	13
204	5100	0.683	13
205	5125	0.684	13
206	5150	0.686	13
207	5175	0.687	13
208	5200	0.69	13
209	5225	0.692	13
210	5250	0.693	13
211	5275	0.695	13
212	5300	0.696	13
213	5325	0.697	13
214	5350	0.699	13
215	5375	0.7	13
216	5400	0.702	13
217	5425	0.703	13
218	5450	0.704	13
219	5475	0.706	13
220	5500	0.708	13
221	5525	0.709	13
222	5550	0.711	13
223	5575	0.712	13
224	5600	0.713	13
225	5625	0.715	13
226	5650	0.716	13
227	5675	0.717	13
228	5700	0.719	13
229	5725	0.72	13
230	5750	0.722	13
231	5775	0.724	13
232	5800	0.729	14
233	5825	0.731	14
234	5850	0.733	14
235	5875	0.735	14
236	5900	0.736	14
237	5925	0.737	14
238	5950	0.739	14
239	5975	0.742	14
240	6000	0.743	14
241	6025	0.745	14
242	6050	0.747	14
243	6075	0.748	14
244	6100	0.75	14
245	6125	0.752	14
246	6150	0.753	14
247	6175	0.754	14
248	6200	0.756	14
249	6225	0.758	14
250	6250	0.759	14
251	6275	0.761	14
252	6300	0.762	14
253	6325	0.763	14
254	6350	0.764	14
