iteration	evaluations	runtime[s]	Porción_Colocados-MAX[MAX]
151	3775	2.181	0.003000000026077032
152	3800	2.191	0.003000000026077032
153	3825	2.203	0.003000000026077032
154	3850	2.216	0.003000000026077032
155	3875	2.225	0.003000000026077032
156	3900	2.261	0.003000000026077032
157	3925	2.269	0.003000000026077032
158	3950	2.276	0.003000000026077032
159	3975	2.284	0.003000000026077032
160	4000	2.291	0.003000000026077032
161	4025	2.299	0.003000000026077032
162	4050	2.306	0.003000000026077032
163	4075	2.313	0.003000000026077032
164	4100	2.322	0.003000000026077032
165	4125	2.329	0.003000000026077032
166	4150	2.336	0.003000000026077032
167	4175	2.343	0.003000000026077032
168	4200	2.351	0.003000000026077032
169	4225	2.358	0.003000000026077032
170	4250	2.366	0.003000000026077032
171	4275	2.372	0.003000000026077032
172	4300	2.379	0.003000000026077032
173	4325	2.386	0.003000000026077032
174	4350	2.394	0.003000000026077032
175	4375	2.401	0.003000000026077032
176	4400	2.408	0.003000000026077032
177	4425	2.416	0.003000000026077032
178	4450	2.423	0.003000000026077032
179	4475	2.431	0.003000000026077032
180	4500	2.44	0.003000000026077032
181	4525	2.446	0.003000000026077032
182	4550	2.453	0.003000000026077032
183	4575	2.465	0.003000000026077032
184	4600	2.475	0.003000000026077032
185	4625	2.483	0.003000000026077032
186	4650	2.49	0.003000000026077032
187	4675	2.497	0.003000000026077032
188	4700	2.505	0.003000000026077032
189	4725	2.512	0.003000000026077032
190	4750	2.52	0.003000000026077032
191	4775	2.527	0.003000000026077032
192	4800	2.534	0.003000000026077032
193	4825	2.543	0.003000000026077032
194	4850	2.549	0.003000000026077032
195	4875	2.558	0.003000000026077032
196	4900	2.566	0.003000000026077032
197	4925	2.574	0.003000000026077032
198	4950	2.581	0.003000000026077032
199	4975	2.589	0.003000000026077032
200	5000	2.597	0.003000000026077032
201	5025	2.604	0.003000000026077032
202	5050	2.615	0.003000000026077032
203	5075	2.624	0.003000000026077032
204	5100	2.631	0.003000000026077032
205	5125	2.641	0.003000000026077032
206	5150	2.649	0.003000000026077032
207	5175	2.656	0.003000000026077032
208	5200	2.668	0.003000000026077032
209	5225	2.676	0.003000000026077032
210	5250	2.684	0.003000000026077032
211	5275	2.692	0.003000000026077032
212	5300	2.701	0.003000000026077032
213	5325	2.711	0.003000000026077032
214	5350	2.721	0.003000000026077032
215	5375	2.729	0.003000000026077032
216	5400	2.761	0.003000000026077032
217	5425	2.774	0.003000000026077032
218	5450	2.787	0.003000000026077032
219	5475	2.801	0.003000000026077032
220	5500	2.807	0.003000000026077032
221	5525	2.815	0.003000000026077032
222	5550	2.828	0.003000000026077032
223	5575	2.842	0.003000000026077032
224	5600	2.856	0.003000000026077032
225	5625	2.87	0.003000000026077032
226	5650	2.882	0.003000000026077032
227	5675	2.894	0.003000000026077032
228	5700	2.904	0.003000000026077032
229	5725	2.911	0.003000000026077032
230	5750	2.92	0.003000000026077032
231	5775	2.933	0.003000000026077032
232	5800	2.94	0.003000000026077032
233	5825	2.948	0.003000000026077032
234	5850	2.957	0.003000000026077032
235	5875	2.964	0.003000000026077032
236	5900	2.973	0.003000000026077032
237	5925	2.981	0.003000000026077032
238	5950	2.989	0.003000000026077032
239	5975	2.997	0.003000000026077032
