iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[24][MAX]
611	15275	0.453	9
612	15300	0.453	9
613	15325	0.454	9
614	15350	0.454	9
615	15375	0.455	9
616	15400	0.455	9
617	15425	0.455	9
618	15450	0.456	9
619	15475	0.456	9
620	15500	0.457	9
621	15525	0.457	9
622	15550	0.458	9
623	15575	0.459	9
624	15600	0.459	9
625	15625	0.459	9
626	15650	0.46	9
627	15675	0.461	9
628	15700	0.461	9
629	15725	0.462	9
630	15750	0.462	9
631	15775	0.463	9
632	15800	0.463	9
633	15825	0.464	9
634	15850	0.464	9
635	15875	0.465	9
636	15900	0.465	9
637	15925	0.465	9
638	15950	0.466	9
639	15975	0.467	9
640	16000	0.467	9
641	16025	0.468	9
642	16050	0.468	9
643	16075	0.469	9
644	16100	0.469	9
645	16125	0.469	9
646	16150	0.47	9
647	16175	0.471	9
648	16200	0.471	9
649	16225	0.472	9
650	16250	0.472	9
651	16275	0.472	9
652	16300	0.473	9
653	16325	0.473	9
654	16350	0.474	9
655	16375	0.474	9
656	16400	0.475	9
657	16425	0.476	9
658	16450	0.476	9
659	16475	0.477	9
660	16500	0.477	9
661	16525	0.478	9
662	16550	0.478	9
663	16575	0.479	9
664	16600	0.479	9
665	16625	0.479	9
666	16650	0.48	9
667	16675	0.48	9
668	16700	0.481	9
669	16725	0.481	9
670	16750	0.481	9
671	16775	0.482	9
672	16800	0.482	9
673	16825	0.483	9
674	16850	0.483	9
675	16875	0.484	9
676	16900	0.484	9
677	16925	0.485	9
678	16950	0.486	9
679	16975	0.486	9
680	17000	0.486	9
681	17025	0.487	9
682	17050	0.487	9
683	17075	0.488	9
684	17100	0.488	9
685	17125	0.489	9
686	17150	0.489	9
687	17175	0.495	9
688	17200	0.496	9
689	17225	0.497	9
690	17250	0.498	9
691	17275	0.499	9
692	17300	0.5	9
693	17325	0.501	9
694	17350	0.502	9
695	17375	0.503	9
696	17400	0.504	9
697	17425	0.504	9
698	17450	0.505	9
699	17475	0.506	9
700	17500	0.508	9
701	17525	0.509	9
702	17550	0.51	9
703	17575	0.516	9
704	17600	0.517	9
705	17625	0.517	9
706	17650	0.518	9
707	17675	0.518	9
708	17700	0.518	9
709	17725	0.519	9
710	17750	0.519	9
711	17775	0.52	9
712	17800	0.52	9
713	17825	0.521	9
714	17850	0.521	9
715	17875	0.521	9
716	17900	0.522	9
717	17925	0.522	9
718	17950	0.523	9
719	17975	0.524	9
720	18000	0.524	9
721	18025	0.525	9
722	18050	0.527	9
723	18075	0.527	9
724	18100	0.528	9
725	18125	0.528	9
726	18150	0.529	9
727	18175	0.529	9
728	18200	0.529	9
729	18225	0.53	9
730	18250	0.53	9
731	18275	0.531	9
732	18300	0.531	9
733	18325	0.531	9
734	18350	0.532	9
735	18375	0.532	9
736	18400	0.532	9
737	18425	0.533	9
738	18450	0.533	9
739	18475	0.534	9
740	18500	0.534	9
741	18525	0.534	9
742	18550	0.535	9
743	18575	0.535	9
744	18600	0.536	9
745	18625	0.536	9
746	18650	0.536	9
747	18675	0.537	9
748	18700	0.537	9
749	18725	0.538	9
750	18750	0.538	9
751	18775	0.539	9
752	18800	0.539	9
753	18825	0.539	9
754	18850	0.54	9
755	18875	0.54	9
756	18900	0.541	9
757	18925	0.541	9
758	18950	0.542	9
759	18975	0.542	9
760	19000	0.543	9
761	19025	0.543	9
762	19050	0.544	9
763	19075	0.544	9
764	19100	0.544	9
765	19125	0.545	9
766	19150	0.545	9
767	19175	0.546	9
768	19200	0.546	9
769	19225	0.546	9
770	19250	0.547	9
771	19275	0.547	9
772	19300	0.548	9
773	19325	0.548	9
774	19350	0.548	9
775	19375	0.549	9
776	19400	0.549	9
777	19425	0.549	9
778	19450	0.55	9
779	19475	0.55	9
780	19500	0.551	9
781	19525	0.551	9
782	19550	0.551	9
783	19575	0.552	9
784	19600	0.552	9
785	19625	0.552	9
786	19650	0.553	9
787	19675	0.553	9
788	19700	0.554	9
789	19725	0.554	9
790	19750	0.554	9
791	19775	0.555	9
792	19800	0.555	9
793	19825	0.556	9
794	19850	0.556	9
795	19875	0.556	9
796	19900	0.557	9
797	19925	0.557	9
798	19950	0.558	9
799	19975	0.558	9
800	20000	0.558	9
801	20025	0.559	9
802	20050	0.559	9
803	20075	0.56	9
